"","state","date","site","dailycases"
"433","Norway",2020-05-19,"Møre og Romsdal",0
"434","Norway",2020-05-20,"Møre og Romsdal",0
"435","Norway",2020-05-21,"Møre og Romsdal",0
"436","Norway",2020-05-22,"Møre og Romsdal",0
"437","Norway",2020-05-23,"Møre og Romsdal",0
"438","Norway",2020-05-24,"Møre og Romsdal",0
"439","Norway",2020-05-25,"Møre og Romsdal",0
"440","Norway",2020-05-26,"Møre og Romsdal",0
"441","Norway",2020-05-27,"Møre og Romsdal",0
"442","Norway",2020-05-28,"Møre og Romsdal",1
"443","Norway",2020-05-29,"Møre og Romsdal",0
"444","Norway",2020-05-30,"Møre og Romsdal",0
"445","Norway",2020-05-31,"Møre og Romsdal",3
"446","Norway",2020-06-01,"Møre og Romsdal",3
"447","Norway",2020-06-02,"Møre og Romsdal",0
"448","Norway",2020-06-03,"Møre og Romsdal",2
"449","Norway",2020-06-04,"Møre og Romsdal",-1
"450","Norway",2020-06-05,"Møre og Romsdal",4
"451","Norway",2020-06-06,"Møre og Romsdal",0
"452","Norway",2020-06-07,"Møre og Romsdal",0
"453","Norway",2020-06-08,"Møre og Romsdal",0
"454","Norway",2020-06-09,"Møre og Romsdal",0
"455","Norway",2020-06-10,"Møre og Romsdal",0
"456","Norway",2020-06-11,"Møre og Romsdal",0
"457","Norway",2020-06-12,"Møre og Romsdal",0
"458","Norway",2020-06-13,"Møre og Romsdal",1
"459","Norway",2020-06-14,"Møre og Romsdal",1
"460","Norway",2020-06-15,"Møre og Romsdal",0
"461","Norway",2020-06-16,"Møre og Romsdal",0
"462","Norway",2020-06-17,"Møre og Romsdal",0
"463","Norway",2020-06-18,"Møre og Romsdal",0
"464","Norway",2020-06-19,"Møre og Romsdal",1
"465","Norway",2020-06-20,"Møre og Romsdal",0
"466","Norway",2020-06-21,"Møre og Romsdal",0
"467","Norway",2020-06-22,"Møre og Romsdal",0
"468","Norway",2020-06-23,"Møre og Romsdal",0
"469","Norway",2020-06-24,"Møre og Romsdal",0
"470","Norway",2020-06-25,"Møre og Romsdal",2
"471","Norway",2020-06-26,"Møre og Romsdal",0
"472","Norway",2020-06-27,"Møre og Romsdal",3
"473","Norway",2020-06-28,"Møre og Romsdal",0
"474","Norway",2020-06-29,"Møre og Romsdal",0
"475","Norway",2020-06-30,"Møre og Romsdal",3
"476","Norway",2020-07-01,"Møre og Romsdal",-1
"477","Norway",2020-07-02,"Møre og Romsdal",0
"478","Norway",2020-07-03,"Møre og Romsdal",0
"479","Norway",2020-07-04,"Møre og Romsdal",3
"480","Norway",2020-07-05,"Møre og Romsdal",0
"481","Norway",2020-07-06,"Møre og Romsdal",0
"482","Norway",2020-07-07,"Møre og Romsdal",0
"483","Norway",2020-07-08,"Møre og Romsdal",0
"484","Norway",2020-07-10,"Møre og Romsdal",1
"485","Norway",2020-07-11,"Møre og Romsdal",0
"486","Norway",2020-07-12,"Møre og Romsdal",0
"487","Norway",2020-07-13,"Møre og Romsdal",0
"488","Norway",2020-07-14,"Møre og Romsdal",0
"489","Norway",2020-07-15,"Møre og Romsdal",0
"490","Norway",2020-07-16,"Møre og Romsdal",0
"491","Norway",2020-07-17,"Møre og Romsdal",0
"492","Norway",2020-07-18,"Møre og Romsdal",0
"493","Norway",2020-07-19,"Møre og Romsdal",0
"494","Norway",2020-07-20,"Møre og Romsdal",0
"495","Norway",2020-07-21,"Møre og Romsdal",0
"496","Norway",2020-07-22,"Møre og Romsdal",0
"497","Norway",2020-07-23,"Møre og Romsdal",0
"498","Norway",2020-07-24,"Møre og Romsdal",0
"499","Norway",2020-07-25,"Møre og Romsdal",0
"500","Norway",2020-07-26,"Møre og Romsdal",0
"501","Norway",2020-07-27,"Møre og Romsdal",0
"502","Norway",2020-07-28,"Møre og Romsdal",0
"503","Norway",2020-07-29,"Møre og Romsdal",0
"504","Norway",2020-07-30,"Møre og Romsdal",0
"505","Norway",2020-07-31,"Møre og Romsdal",0
"506","Norway",2020-08-01,"Møre og Romsdal",0
"507","Norway",2020-08-02,"Møre og Romsdal",0
"508","Norway",2020-08-03,"Møre og Romsdal",0
"509","Norway",2020-08-04,"Møre og Romsdal",1
"510","Norway",2020-08-05,"Møre og Romsdal",0
"511","Norway",2020-08-06,"Møre og Romsdal",0
"512","Norway",2020-08-07,"Møre og Romsdal",1
"513","Norway",2020-08-08,"Møre og Romsdal",1
"514","Norway",2020-08-09,"Møre og Romsdal",0
"515","Norway",2020-08-10,"Møre og Romsdal",0
"516","Norway",2020-08-11,"Møre og Romsdal",1
"517","Norway",2020-08-12,"Møre og Romsdal",0
"518","Norway",2020-08-13,"Møre og Romsdal",1
"519","Norway",2020-08-14,"Møre og Romsdal",1
"520","Norway",2020-08-15,"Møre og Romsdal",1
"521","Norway",2020-08-16,"Møre og Romsdal",0
"522","Norway",2020-08-17,"Møre og Romsdal",0
"523","Norway",2020-08-18,"Møre og Romsdal",0
"524","Norway",2020-08-19,"Møre og Romsdal",1
"525","Norway",2020-08-20,"Møre og Romsdal",0
"526","Norway",2020-08-21,"Møre og Romsdal",2
"527","Norway",2020-08-22,"Møre og Romsdal",1
"528","Norway",2020-08-23,"Møre og Romsdal",0
"529","Norway",2020-08-24,"Møre og Romsdal",0
"530","Norway",2020-08-25,"Møre og Romsdal",4
"531","Norway",2020-08-26,"Møre og Romsdal",0
"532","Norway",2020-08-27,"Møre og Romsdal",2
"533","Norway",2020-08-28,"Møre og Romsdal",2
"534","Norway",2020-08-29,"Møre og Romsdal",0
"535","Norway",2020-08-30,"Møre og Romsdal",0
"536","Norway",2020-08-31,"Møre og Romsdal",0
"537","Norway",2020-09-01,"Møre og Romsdal",3
"538","Norway",2020-09-02,"Møre og Romsdal",1
"539","Norway",2020-09-03,"Møre og Romsdal",3
"540","Norway",2020-09-04,"Møre og Romsdal",0
"541","Norway",2020-09-05,"Møre og Romsdal",0
"542","Norway",2020-09-06,"Møre og Romsdal",0
"543","Norway",2020-09-07,"Møre og Romsdal",0
"544","Norway",2020-09-08,"Møre og Romsdal",2
"545","Norway",2020-09-09,"Møre og Romsdal",0
"546","Norway",2020-09-10,"Møre og Romsdal",3
"547","Norway",2020-09-11,"Møre og Romsdal",0
"548","Norway",2020-09-12,"Møre og Romsdal",1
"549","Norway",2020-09-13,"Møre og Romsdal",0
"550","Norway",2020-09-14,"Møre og Romsdal",0
"551","Norway",2020-09-15,"Møre og Romsdal",0
"552","Norway",2020-09-16,"Møre og Romsdal",1
"553","Norway",2020-09-17,"Møre og Romsdal",0
"554","Norway",2020-09-18,"Møre og Romsdal",3
"555","Norway",2020-09-19,"Møre og Romsdal",1
"556","Norway",2020-09-20,"Møre og Romsdal",1
"557","Norway",2020-09-21,"Møre og Romsdal",1
"558","Norway",2020-09-22,"Møre og Romsdal",0
"559","Norway",2020-09-23,"Møre og Romsdal",1
"560","Norway",2020-09-24,"Møre og Romsdal",0
"561","Norway",2020-09-25,"Møre og Romsdal",3
"562","Norway",2020-09-26,"Møre og Romsdal",0
"563","Norway",2020-09-27,"Møre og Romsdal",1
